Original Board	Claimed By	Remixed Board	Added to Drive?	Filename	Completed?	Flags Used?	+RUBE Fun?	Dark Board?	Notes/Comments					
Hell Board 4	davidjamesmc	Hellen	Draft up 23Nov24	HELLEN.BRD	No	Checks for RUBE. +EXPANDED (Cleared on completion). +SCORPIOED (Cleared during gameplay)	Pisces gives clearer hints.	No	Uses an ammo-based inventory system (will give 1 ammo if detects a shot)					
Hell Blue Gates	Snorb	Yomotsu Hirasaka	Jan 11 2021	YOMOTSU.BRD	Yes	N/A	"Read the story on the board! YOU tell ME if it's ""FUN!!!"" ...err, nope."	No	Bring Blue Keys from Hell here.					
Viper Pit	DarkMatt	Viper Pit	Apr 2 2021	DM-VIPR.BRD	Yes	+BFLAG. (Cleared on completion.) Checks for RUBE	You get condescended if you play on easy does that count? Also it's much easier on easy. I uhh think.	No						
River Styx														
Depths of Hell	dave2	Hell Depths	October 29 2024	HELDEPTH.BRD	Yes	Checks for RUBE, LIONFRIEND	"""Bosses"" reveal themselves, final gaunlet is easier."	No	Please test this board for funness, beatability, and other bugs!				Board has been tested. Thanks for the board. ~The Management	
Devil's Quarters	cyborgurl	The Management	Apr 4 2021	DEVIL-V2.BRD	Yes	Checks for LIONFRIEND, LIONATTACK and LIONBETRAY	Not an action board!	No	Has an instant death, like the original (refusing to challenge the devil). I could be talked into toning this down.					
End Game	DarkMatt	The New There	When we're done		Yes	None	Nope.	No	Board will be added to the drive once all of our slots are claimed. Has a surprise.					
					"^ ""Yes"" if it's completed; any other text if needs feedback/testing"									
Purple background = Purple key on board			Blue background = Blue key on board				Dark boards can be toggled on/off as you need							
														
Boards Claimed	31	96.88%												
Boards Uploaded	27	84.38%												
---	---	---	Author	Color		Char	Author Avatars:							
Boards In Development	4	12.50%	cyborgurl	Purple Key		Purple Key (Purple ♀)	Once you submit a board, I need two things from you:							
Boards Needing Feedback	5	15.63%	RT-55J	Dark Green		158 (₧)	Foreground and background color							
Boards Completed	22	68.75%	KKairos	yellow		k	Character (Any ANSI. Either the code or the actual symbol will do.)							
Total Boards	32		Newt	Cyan on Dark Cyan		224 (α)	Thanks in advance: DarkMatt							
			KinCryos	Cyan on Dark Blue		21 (§)	(If you submitted to Town Remix I could just use your old avatar.)							
			Snorb	Cyan on Dark Cyan		6 (♠)								
			DarkMatt	Dark Grey		129 (ü)								
			Alan Smithee	White		X								
